"[-156.08053189983949, 1.2390655279319474, 78.89330864887319]"
"[-155.7992287083501, 1.2390655279319474, 78.64460201587602]"
"[-155.14836302010374, 1.2790484652876715, 78.39015453340971]"
"[-155.27355866716644, 1.5288516556786238, 78.43951987657505]"
"[-154.9512784154957, 1.7593989008947903, 78.32178064619308]"
"[-154.68027226509153, 2.085399638783532, 78.22622157035845]"
"[-154.79187000318802, 2.8236907898177646, 78.32178896955841]"
"[-154.9926673744659, 2.6392719728598477, 78.38515885029649]"
"[-154.83056331509545, 2.8176495188357458, 78.30930085614484]"
"[-154.34866952720438, 0.2817013528688777, 78.18599212418711]"
